date,log_PIB,inflation,TIAO,taux_reel
1991-01-01,22.862791376980184,-0.3972128304112621,7.75,8.147212830411263
1991-04-01,22.861928917232976,-0.3972128304112621,7.75,8.147212830411263
1991-07-01,22.865941809911444,-0.3972128304112621,7.75,8.147212830411263
1991-10-01,22.874813700224806,-0.8779876075381916,7.75,8.627987607538191
1992-01-01,22.888458331089453,-1.3587623846651211,7.75,9.108762384665122
1992-04-01,22.89700146044669,-1.8395371617920506,7.75,9.58953716179205
1992-07-01,22.891597886519335,-2.32031193891898,7.75,10.07031193891898
1992-10-01,22.871377963905548,-2.6464027081234356,7.75,10.396402708123436
1993-01-01,22.834718428468136,-2.972493477327891,7.75,10.722493477327891
1993-04-01,22.800102622667023,-3.2985842465323465,7.75,11.048584246532346
1993-07-01,22.785889290505683,-3.624675015736802,7.5,11.124675015736802
1993-10-01,22.792504161473996,3.0670669718397114,7.5,4.432933028160289
1994-01-01,22.819108017749993,9.758808959416225,7.5,-2.258808959416225
1994-04-01,22.841005773848938,16.45055094699274,7.5,-8.950550946992738
1994-07-01,22.862288931797234,23.14229293456925,7.5,-15.642292934569252
1994-10-01,22.882987878428935,21.308439847445744,7.0,-14.308439847445744
1995-01-01,22.903130844073992,19.474586760322236,7.0,-12.474586760322236
1995-04-01,22.916107950781615,17.640733673198728,6.5,-11.140733673198728
1995-07-01,22.923575616458837,15.806880586075222,6.5,-9.306880586075222
1995-10-01,22.925865895215594,13.093349188584389,6.5,-6.593349188584389
1996-01-01,22.923215661954806,10.379817791093558,6.0,-4.379817791093558
1996-04-01,22.928503438625047,7.666286393602727,6.0,-1.6662863936027268
1996-07-01,22.947120709331376,4.952754996111894,6.0,1.047245003888106
1996-10-01,22.977541173658228,5.084253323242278,6.0,0.9157466767577223
1997-01-01,23.017998285776876,5.2157516503726615,6.0,0.7842483496273385
1997-04-01,23.04368231196449,5.347249977503044,6.0,0.6527500224969556
1997-07-01,23.054313947386444,5.478748304633428,5.75,0.2712516953665718
1997-10-01,23.05108917929226,4.6682283389484365,5.75,1.0817716610515635
1998-01-01,23.03456497285123,3.8577083732634456,5.75,1.8922916267365544
1998-04-01,23.031629790838306,3.0471884075784548,5.75,2.7028115924215452
1998-07-01,23.03034708237758,2.2366684418934635,5.5,3.2633315581065365
1998-10-01,23.030719969446018,1.5163504526914344,5.5,3.9836495473085654
1999-01-01,23.032743370168053,0.7960324634894058,5.5,4.703967536510595
1999-04-01,23.032573706835965,0.0757144742873769,5.5,5.424285525712623
1999-07-01,23.037154110057276,-0.644603514914652,5.5,6.144603514914652
1999-10-01,23.046281241612938,-0.03599843699295158,5.5,5.535998436992951
2000-01-01,23.059699602618046,0.5726066409287489,5.25,4.677393359071251
2000-04-01,23.06953944773633,1.1812117188504492,5.25,4.068788281149551
2000-07-01,23.0883611881447,1.7898167967721497,5.25,3.4601832032278503
2000-10-01,23.114972199495362,2.5097130214637122,5.25,2.7402869785362878
2001-01-01,23.14814469666671,3.229609246155275,5.0,1.7703907538447252
2001-04-01,23.174099188566032,3.9495054708468382,5.0,1.0504945291531618
2001-07-01,23.18844124895092,4.669401695538401,5.0,0.3305983044615992
2001-10-01,23.192213461676033,4.196241377384607,5.0,0.8037586226153932
2002-01-01,23.186060950232243,3.7230810592308123,5.0,1.2769189407691877
2002-04-01,23.189594956204314,3.249920741077019,5.0,1.7500792589229812
2002-07-01,23.20369761603385,2.7767604229232243,5.0,2.2232395770767757
2002-10-01,23.227368302321,2.4574106706432883,5.0,2.5425893293567117
2003-01-01,23.25942980334402,2.138060918363352,5.0,2.861939081636648
2003-04-01,23.279236785648614,1.8187111660834154,5.0,3.1812888339165846
2003-07-01,23.303239122794025,1.4993614138034794,4.75,3.2506385861965206
2003-10-01,23.33060662938558,1.0769957363990363,4.75,3.673004263600964
2004-01-01,23.360607924628262,0.654630058994593,4.75,4.095369941005407
2004-04-01,23.3886933958549,0.23226438159014975,4.75,4.5177356184098505
2004-07-01,23.407274616845243,-0.19010129581429347,4.5,4.690101295814293
2004-10-01,23.417447940518464,0.4864520638446098,4.5,4.0135479361553905
2005-01-01,23.420005352461978,1.1630054235035132,4.5,3.336994576496487
2005-04-01,23.430586712653703,1.8395587831624165,4.5,2.6604412168375835
2005-07-01,23.440051636564192,2.51611214282132,4.5,1.9838878571786802
2005-10-01,23.448460178578088,3.062885769508842,4.5,1.437114230491158
2006-01-01,23.45586647866533,3.6096593961963643,4.5,0.8903406038036357
2006-04-01,23.46246378787796,4.156433022883887,4.5,0.3435669771161134
2006-07-01,23.472647824979497,4.703206649571409,4.5,-0.20320664957140888
2006-10-01,23.48613861476263,3.475341000821737,4.5,1.0246589991782629
2007-01-01,23.50264331043015,2.2474753520720654,4.5,2.2525246479279346
2007-04-01,23.518038345587073,1.0196097033223932,4.5,3.480390296677607
2007-07-01,23.533100621567193,-0.2082559454272786,4.5,4.708255945427279
2007-10-01,23.54784187213853,1.448929672878029,4.5,3.051070327121971
2008-01-01,23.56227327562932,3.106115291183337,4.5,1.393884708816663
2008-04-01,23.578331998879968,4.7633009094886445,4.5,-0.2633009094886445
2008-07-01,23.590953154629943,6.420486527793952,4.75,-1.670486527793952
2008-10-01,23.60034318863791,5.865595329130759,4.75,-1.115595329130759
2009-01-01,23.60666885264784,5.310704130467566,4.75,-0.560704130467566
2009-04-01,23.60968087772816,4.755812931804373,4.25,-0.5058129318043729
2009-07-01,23.612203772331622,4.20092173314118,4.25,0.04907826685882011
2009-10-01,23.614257908126866,3.3631637113185393,4.25,0.8868362886814607
2010-01-01,23.61586216871927,2.5254056894958987,4.25,1.7245943105041013
2010-04-01,23.62084203510301,1.6876476676732577,4.25,2.5623523323267423
2010-07-01,23.631320986671142,0.849889645850617,4.0,3.150110354149383
2010-10-01,23.646889406457273,1.1699231142723094,4.0,2.8300768857276903
2011-01-01,23.667089390908565,1.489956582694002,4.0,2.5100434173059982
2011-04-01,23.681319485235335,1.8099900511156943,4.0,2.1900099488843057
2011-07-01,23.69585506450819,2.130023519537387,4.0,1.869976480462613
2011-10-01,23.710640381217985,2.631299938208813,4.0,1.3687000617911869
2012-01-01,23.725625309963,3.132576356880239,4.0,0.8674236431197611
2012-04-01,23.746273228542016,3.6338527755516647,4.0,0.36614722444833525
2012-07-01,23.759504075534146,4.135129194223091,4.0,-0.135129194223091
2012-10-01,23.765674141370535,3.6642305683103986,3.5,-0.16423056831039862
2013-01-01,23.764981327861094,3.1933319423977062,3.5,0.30666805760229376
2013-04-01,23.762192857392435,2.722433316485014,3.5,0.7775666835149861
2013-07-01,23.764704757319983,2.2515346905723215,3.5,1.2484653094276785
2013-10-01,23.772274068675333,2.843681487887732,3.5,0.6563185121122679
2014-01-01,23.784594997026456,3.4358282852031428,3.5,0.06417171479685724
2014-04-01,23.798107535258247,4.027975082518553,3.5,-0.5279750825185534
